SPE+   TCA+ 3,SPE TCA+,KNN-TDS  TCA+,MZ_Score  TCA+,CFPS TCA+,Bellweather TCA+,SPE+   BDA 3,SPE BDA,KNN-TDS  BDA,MZ_Score  BDA,CFPS BDA,Bellweather BDA,SPE+   KMM 3,SPE KMM,KNN-TDS  KMM,MZ_Score  KMM,CFPS KMM,Bellweather KMM
0.841947512,0.786969037,0.819122026,0.850120739,0.726262373,0.726262373,0.813329579,0.705367011,0.603388342,0.705367011,0.497112238,0.497112238,0.313652953,0.774740228,0.701007248,0.581881851,0.353775593,0.353775593
0.877857918,0.76591459,0.965887393,0.957519047,0.729972392,0.729972392,0.681974495,0.703938201,0.63936879,0.581982528,0.555546356,0.555546356,0.93944506,0.93944506,0.712189239,0.785571297,0.356906319,0.356906319
0.71352657,0.705114638,0.645311555,0.556472527,0.688640794,0.688556502,0.714508338,0.696087269,0.653108009,0.566744525,0.570411336,0.600043634,0.684553978,0.684553978,0.69062868,0.661557977,0.143492063,0.495962314
0.714169215,0.695827872,0.695827872,0.550169139,0.50859319,0.714169215,0.696307482,0.729108496,0.647457798,0.529886298,0.51108175,0.566120781,0.740493515,0.568256271,0.736297472,0.570950151,0.187577486,0.521547151
0.732094964,0.249026628,0.119556482,0.481764603,0.732094964,0.426327519,0.611510273,0.536266284,0.66832417,0.740575908,0.643677946,0.692569002,0.431457908,0.077524504,0.474152677,0.489799261,0.534238748,0.775966414
0.546514959,0.511833012,0.412598425,0.404562009,0.296969697,0.72183908,0.623001949,0.623001949,0.453746544,0.468614499,0.549,0.65045614,0.67327945,0.474687474,0.497037037,0.556939903,0.410638056,0.474074074
0.581765306,0.431664181,0.513724133,0.267635239,0.578904942,0.592085333,0.560616046,0.565898474,0.469796965,0.428391144,0.589634069,0.613342524,0.558704453,0.359316666,0.437324634,0.485070746,0.597932077,0.555188579
0.65714994,0.457202443,0.371560102,0.298302373,0.446419673,0.649285273,0.578119887,0.570401392,0.578119887,0.539196926,0.568539416,0.613697874,0.49569355,0.372902303,0.607511693,0.516238996,0.553208565,0.576891844
0.611152438,0.47239061,0.584799209,0.275829761,0.584799209,0.653405711,0.676153324,0.695293058,0.65161753,0.666432292,0.65161753,0.671437375,0.55202384,0.539047615,0.507988554,0.652747199,0.507988554,0.521484844
0.834400424,0.778539037,0.851240308,0.84891738,0.024842579,0.529611533,0.444588414,0.444588414,0.431742668,0.391265135,0.203599953,0.343813341,0.656550443,0.244342819,0.685687687,0.519851222,0.055763455,0.122374822
